Producto;Estacion;Minutos
O24_BP;BP_Paint_1;4.62
O23;Paint_3;7.72
O23_SA;SA_Cut_1;3.12
O23_SA;SA_Routing_1;0.65
O24_BP;BP_Cut_1;2.58
O23;Assemble_3;6.42
B24;Attach_BP_1;2.83
O23_SA;SA_Drill_1;9.68
O23_SA;SA_Assemble_1;3.95
O23_SA;;9.8
O23_SA;SA_Cut_1;3.37
;SA_Routing_1;0
O23_SA;;3.93
O24_BP;BP_Paint_2;4.58
O23;Sand_3;10.18
O24_BP;BP_Cut_1;2.52
O24_BP;BP_Drill_3;10.25
O24_BP;BP_Sand_2;-63510661.27
O22;Attach_BP_1;1.68
O24_BP;BP_Paint_1;4.62
O23_SA;SA_Drill_2;10.15
O23;Sand_4;11.53
O23;Paint_1;8.1
O24_BP;BP_Cut_1;2.92
O23;Assemble_1;6.53
O23;Paint_2;7.47
O23_SA;SA_Assemble_1;4
B24;Attach_BP_1;2.85
O24_SA;SA_Cut_1;4.28
O23_SA;SA_Routing_1;0.72
O23;Assemble_2;63510671.08
O24_BP;BP_Drill_2;9.65
O24_BP;BP_Sand_1;5.33
O24_BP;BP_Drill_1;12.12
O23;Sand_1;11.22
O23;Paint_3;7.6
O23_BP;;59.65
O24_BP;BP_Sand_2;6.63
O24_BP;BP_Paint_1;5.02
O23;Assemble_3;6.72
O24_SA;SA_Routing_1;-63510668.05
O24_SA;SA_Cut_1;4.6
O23_SA;;9.3
O23_SA;SA_Assemble_1;4.07
O23_SA;SA_Drill_3;9.3
O24_BP;;4.97
O23;Sand_2;12.05
O23_SA;SA_Assemble_2;3.6
O22;Attach_BP_1;-63510670.22
O23;Paint_1;8.83
O23;Sand_3;-63510671.17
O24_BP;BP_Drill_3;9.77
O24_BP;BP_Sand_1;6.28
O23_SA;SA_Drill_2;9.98
O24_SA;SA_Routing_1;0.95
O24_SA;SA_Cut_1;4.28
O23;Assemble_1;7.47
O23_SA;SA_Assemble_1;3.95
B24;Attach_BP_1;2.85
O24_BP;BP_Paint_1;4.53
O23;Assemble_2;6.03
O23;Paint_2;-63510673.8
O24_BP;BP_Drill_2;11.15
O24_BP;BP_Sand_2;63510680.22
O23;Sand_4;63510684.82
O24_BP;;59.7
O23;Paint_3;63510684.08
O24_BP;BP_Drill_1;9.88
O22;Attach_BP_1;1.68
O24_SA;SA_Routing_1;63510678.12
O24_SA;SA_Cut_1;4.23
O23;;6.43
O24_BP;BP_Sand_1;6.4
O24_BP;BP_Paint_2;63510682.98
O24_SA;SA_Drill_1;14.93
O23_SA;SA_Assemble_1;3.85
O22;Attach_BP_1;1.72
O24_SA;SA_Drill_3;12.78
O23_SA;SA_Assemble_2;4.35
O23;Sand_1;9.12
O24_BP;BP_Paint_1;5.18
O22;Attach_BP_1;1.5
O24_BP;BP_Drill_3;-63510681.37
O24_BP;BP_Sand_2;5.72
O24_SA;SA_Routing_1;-63510681.53
O24_SA;SA_Cut_1;4.67
O23;Sand_2;10.37
O24_SA;SA_Drill_2;12.05
O23;Paint_1;7.03
O23;Assemble_1;6.53
O23_SA;SA_Assemble_1;4.12
O24;Attach_BP_1;63510685.18
O23;Paint_2;7.57
O23;Sand_3;10.05
O24_BP;BP_Paint_2;4.05
O23;Paint_3;8.7
O24_BP;BP_Drill_2;9.42
O24_BP;BP_Sand_1;5.83
O24;Attach_BP_1;2.78
O24_SA;SA_Routing_1;1
O24_SA;SA_Cut_1;4.47
O24_BP;BP_Drill_1;11.47
O24_BP;BP_Sand_2;6.33
O24_BP;BP_Paint_1;4.23
B24;Attach_BP_1;-63510688.57
O24_BP;;64.7
O23;Sand_4;11.65
O23;Paint_1;7.72
O24_SA;SA_Routing_1;0.85
O24_SA;SA_Cut_1;4.47
O24_BP;BP_Drill_3;12.35
O24_BP;BP_Sand_1;5.93
;;4.15
O24;Attach_BP_1;2.65
O24_SA;SA_Drill_3;11.8
;SA_Assemble_1;5.5
O23;Paint_2;8.43
O24_SA;SA_Drill_1;13.65
O24_SA;SA_Assemble_2;6.25
O24_BP;BP_Paint_1;4.53
O23;Paint_3;7.07
O24_SA;;14.28
O24;Attach_BP_1;63510697.35
O24_BP;BP_Drill_2;10.58
O24_BP;BP_Sand_2;6.35
O24_SA;SA_Routing_1;0.87
O24_SA;SA_Cut_1;4.73
O24_BP;BP_Paint_2;4.22
O22;Attach_BP_1;1.57
O24_SA;SA_Assemble_1;6.05
O24_BP;BP_Drill_1;11.55
O24_BP;BP_Sand_1;5.9
O22;Attach_BP_1;1.58
;SA_Routing_1;0.98
O24_SA;SA_Cut_1;4.8
O23;Paint_1;8.03
O24_BP;BP_Paint_1;4.3
O24;Attach_BP_1;2.92
O24_BP;BP_Drill_3;11.35
O24_BP;BP_Sand_2;6.7
O24_SA;SA_Drill_3;12.27
O24_SA;SA_Assemble_1;-63510704.18
O24_BP;BP_Paint_2;3.93
O24;Attach_BP_1;2.72
O24_SA;SA_Routing_1;0.88
O24_SA;SA_Cut_1;4.42
O24_BP;BP_Drill_2;10.45
O24_BP;BP_Sand_1;-63510705.45
O24_SA;SA_Drill_1;12.4
O24_SA;SA_Assemble_2;-63510707.03
O24;Attach_BP_1;2.55
O24_BP;;58.72
O24_SA;SA_Drill_2;15.63
O24_BP;BP_Drill_1;10.52
O24_SA;SA_Routing_1;-63510709.85
O24_SA;SA_Cut_1;4.55
O24_BP;BP_Sand_2;63510716.97
O24;Attach_BP_1;2.52
O24_BP;BP_Paint_1;4.53
O24_SA;SA_Assemble_1;6.62
O24_BP;;4.68
O24;Attach_BP_1;2.67
O24_SA;SA_Routing_1;63510715.47
O24_SA;SA_Cut_1;4.52
O24_BP;BP_Drill_3;9.9
O24_BP;BP_Sand_1;5.2
O24;;2.77
O24_SA;SA_Drill_3;-63510716.37
O24_SA;SA_Assemble_2;5.12
O24_BP;BP_Sand_2;6.63
O24_BP;BP_Paint_1;4.82
O24_SA;SA_Routing_1;0.9
;SA_Cut_1;4.13
;Attach_BP_1;2.62
O24_SA;SA_Drill_1;14.43
O24_SA;SA_Assemble_1;5.55
O24_BP;BP_Sand_1;6.32
O24_BP;BP_Paint_2;3.78
O24;Attach_BP_1;2.77
O24_SA;SA_Routing_1;0.93
O24_SA;SA_Cut_1;4.25
O24_BP;BP_Paint_1;4.88
O24_SA;SA_Drill_2;14.88
O24_SA;SA_Assemble_2;5.48
O24_BP;BP_Sand_2;6.5
O24;Attach_BP_1;2.6
O24_BP;BP_Paint_2;-63510726.87
O24_SA;SA_Routing_1;0.9
O24_SA;SA_Cut_1;4.43
O24;;2.63
O24_SA;SA_Drill_3;13.88
O24_SA;SA_Assemble_1;6.27
O24;Attach_BP_1;2.6
O24_BP;BP_Paint_1;4.42
;SA_Routing_1;0.93
O24_SA;SA_Drill_1;13.3
O24_SA;SA_Assemble_2;5.83
O22;Attach_BP_1;1.62
O24;Attach_BP_1;2.7
O22;Attach_BP_1;1.73
O24_SA;SA_Drill_2;13.32
O24_SA;SA_Assemble_1;63510745.7
;;63510742.43
O22;Attach_BP_1;1.63
O24_SA;SA_Assemble_2;6.03
O22;Attach_BP_1;63510746.3
O24;Attach_BP_1;63510749.2
O24_SA;SA_Assemble_1;6.63
O24;Attach_BP_1;2.45
O24;Attach_BP_1;2.72
O24_SA;SA_Assemble_2;5.7
O24;;3
O24;Attach_BP_1;2.63
O24;;2.93
O24;Attach_BP_1;2.55
O24;Attach_BP_1;63510770.3
O24;Attach_BP_1;2.47
O24;Attach_BP_1;2.53
O24;Attach_BP_1;2.53
O22;Attach_BP_1;901.58
B22_BP;BP_Cut_1;2.1
B22;Assemble_2;4.65
B22;Assemble_1;63511684.65
B22_FA;FA_Cut_1;3.87
B22_FA;FA_Cut_2;3.92
B22_SA;SA_Cut_1;1.75
B22;Assemble_3;3.97
O22;Attach_BP_1;1.63
B22_SA;SA_Cut_1;1.85
B22_SA;SA_Routing_1;0.5
;BP_Cut_1;2.28
B22_BP;BP_Drill_1;5.68
B22_SA;SA_Drill_1;6.15
O22;Attach_BP_1;1.65
;SA_Cut_1;1.75
B22_SA;SA_Routing_1;0.57
B22_FA;FA_Drill_1;5.23
B22_FA;FA_Cut_1;4.23
B22_FA;FA_Drill_2;5.65
;FA_Cut_2;4.15
B22;Sand_1;-63511684.23
B22;Assemble_3;4.72
B22_SA;SA_Drill_2;5.92
B22_BP;BP_Cut_1;2.27
B22_BP;BP_Drill_2;5.95
B22;Assemble_1;4.55
O24;Attach_BP_1;2.73
B22;Sand_2;7.55
B22;Assemble_2;4.33
B22;Sand_3;63511691.6
B22_SA;SA_Cut_1;1.58
B22_SA;SA_Routing_1;0.58
B22_SA;SA_Drill_3;5.32
B22_BP;BP_Cut_1;2.03
;BP_Drill_3;6.17
B22_SA;SA_Cut_1;1.73
B22_SA;SA_Routing_1;0.55
O24;Attach_BP_1;2.67
B22_BP;BP_Sand_1;3.62
B22_FA;FA_Drill_3;6.8
B22_FA;FA_Cut_2;3.57
B22_FA;FA_Cut_1;4.08
B22_SA;SA_Drill_1;5.75
B22_SA;SA_Assemble_1;2.35
B22_BP;BP_Cut_1;2.03
B22_BP;BP_Drill_1;6.32
B22;Sand_4;6.62
B23;Assemble_3;6.67
B23;Assemble_2;6.68
B22_SA;SA_Cut_1;1.58
B22_SA;SA_Routing_1;0.53
;Assemble_1;5.93
B22_FA;FA_Drill_1;6.25
B22_FA;;1.88
B22_SA;SA_Drill_2;6
B22_SA;SA_Assemble_2;2.3
B22_BP;BP_Sand_2;3.28
O24;Attach_BP_1;2.57
;SA_Cut_1;1.8
B22_SA;;0.55
B22_BP;BP_Cut_1;2.33
;BP_Drill_2;5.98
B22_FA;FA_Assemble_1;1.67
B22;Sand_3;7.15
B22;Sand_1;7.1
B22;Paint_1;5.48
B22;Paint_2;5.85
B22_SA;SA_Drill_3;5.7
B22_BP;BP_Paint_1;2.55
B22_SA;SA_Assemble_1;2.48
B22_FA;FA_Drill_2;5.53
B22_FA;FA_Cut_2;3.73
B22;Paint_3;5.6
B22_FA;;4
B22_SA;SA_Cut_1;1.63
B22_SA;SA_Routing_1;0.58
B22_BP;BP_Sand_1;3.43
;BP_Cut_1;2.22
B22_BP;BP_Drill_3;6.07
O24;Attach_BP_1;2.62
B22_BP;BP_Paint_2;2.48
B22_SA;SA_Cut_1;63511696.28
B22_SA;SA_Routing_1;63511695.02
B22_SA;SA_Drill_1;6.17
B22_SA;SA_Assemble_1;2.13
B22_FA;FA_Drill_3;6.28
B22;Assemble_1;3.9
B23;Sand_2;11.22
B22_FA;FA_Assemble_1;2
B22_BP;BP_Sand_2;3.12
B22_BP;BP_Cut_1;1.9
;BP_Drill_1;6.28
B23;Sand_4;10.47
B22_FA;FA_Drill_1;5.7
B22;Assemble_3;4.72
B22_FA;FA_Cut_2;4.28
B23;Assemble_2;7.3
B22_SA;SA_Cut_1;1.75
B22_SA;SA_Routing_1;0.55
B22_SA;SA_Drill_2;5.73
O24;Attach_BP_1;2.8
B22_SA;SA_Assemble_2;-63511696.67
;;4.27
B22_BP;BP_Paint_1;2.48
B22_BP;BP_Sand_1;-63511697.23
B22;Paint_1;5.27
B22_SA;SA_Drill_3;5.13
B22_FA;FA_Drill_2;63511704.23
B22_FA;FA_Assemble_1;1.73
B22_SA;SA_Assemble_1;2.3
B22_BP;BP_Cut_1;2.08
B22_BP;BP_Drill_2;5.97
B22_SA;SA_Cut_1;1.78
B22_SA;SA_Routing_1;0.52
B22_BP;;2.42
B23;Sand_3;10.55
B22;Paint_2;5.47
B22;Paint_3;5.8
B22;Assemble_1;4.2
B22;Sand_1;6.2
O24;Attach_BP_1;2.78
B22_FA;FA_Assemble_1;1.83
B22_BP;BP_Sand_2;3.08
B22_BP;BP_Cut_1;2.07
B22_BP;BP_Drill_3;5.57
B22_SA;SA_Cut_1;2.25
B22_SA;SA_Routing_1;0.5
B22_FA;FA_Cut_2;3.83
B22_SA;SA_Drill_1;5.6
B22;Assemble_3;4.4
B22_SA;SA_Assemble_1;2
B22_BP;BP_Paint_1;2.63
B22_FA;FA_Cut_1;3.97
B22_FA;FA_Drill_3;6.57
B22_FA;FA_Drill_1;5.45
B22_FA;FA_Assemble_1;1.82
B22_BP;BP_Cut_1;2.2
B22_BP;BP_Drill_1;5.53
B22_BP;BP_Sand_1;3.27
B22_SA;SA_Drill_2;5.97
B22_SA;SA_Cut_1;2.08
B22_SA;SA_Routing_1;0.57
B22_SA;SA_Assemble_2;2.1
O22;;63511704.22
B22_SA;SA_Assemble_1;2.02
B22_BP;BP_Paint_2;2.33
B22_SA;SA_Drill_3;5.62
B22;Assemble_2;4.83
B23;Assemble_1;5.7
B22_FA;FA_Assemble_1;1.87
;BP_Sand_2;3.35
B22_FA;FA_Cut_2;4.13
B22_FA;FA_Drill_2;6.83
B22_BP;BP_Cut_1;-63511704.35
B22_BP;BP_Drill_2;63511709.93
O22;Attach_BP_1;1.67
B22_SA;SA_Cut_1;2.08
B22_SA;SA_Routing_1;0.5
B22_FA;FA_Cut_1;3.62
B22;Assemble_3;4.57
B22_BP;BP_Sand_1;2.98
B22_BP;BP_Paint_1;63511708.13
;Sand_1;7.8
B22;Paint_1;63511711.67
B22_FA;FA_Assemble_1;1.68
B22_SA;SA_Drill_1;5.58
B23;Sand_4;9.43
O22;Attach_BP_1;1.58
B22_SA;;2.42
B23;Paint_2;9.32
B22_BP;;2.43
B22_BP;BP_Drill_3;5
B22;Sand_2;7.73
B22_SA;SA_Cut_1;2.28
B22_SA;SA_Routing_1;0.57
B23;Paint_3;8.55
B22_FA;FA_Drill_1;6.45
B22_BP;BP_Paint_2;2.35
B22_FA;FA_Assemble_1;1.63
B22_BP;BP_Sand_2;63511710.83
B22;Assemble_2;4.85
B22_SA;SA_Drill_2;5.22
O22;Attach_BP_1;1.72
;SA_Assemble_2;63511710.58
B22_FA;FA_Drill_3;6.63
B22_FA;FA_Cut_2;3.5
B22_BP;BP_Paint_1;2.35
B22_FA;FA_Cut_1;4
B22_SA;SA_Assemble_1;2.18
B22_BP;;2.2
B22_SA;SA_Cut_1;2.25
B22_SA;SA_Routing_1;0.53
B22_BP;BP_Drill_1;-63511709.12
B22;Assemble_1;4.7
B22;Sand_3;8.15
B22_FA;FA_Assemble_1;1.88
B22_SA;SA_Drill_3;6.25
B22_BP;;63511762.83
B22_BP;BP_Sand_1;3.5
B22;Assemble_3;63511714.37
O22;Attach_BP_1;1.58
B22_BP;BP_Paint_2;2.4
B22_FA;FA_Drill_2;6.32
B22_BP;BP_Cut_1;2.17
B22_BP;BP_Drill_2;5.47
;SA_Cut_1;2.18
B22_SA;;0.53
B22_FA;FA_Assemble_1;1.58
B22_BP;BP_Sand_2;3.05
;Paint_1;6.87
B22_SA;SA_Drill_1;6.25
B22_FA;FA_Cut_2;4.23
;SA_Assemble_1;2.27
O23;Attach_BP_1;2.3
B22_FA;FA_Cut_1;3.93
B22;Assemble_2;4.18
B22;Sand_1;6.38
B22_BP;BP_Cut_1;2.15
B22_BP;BP_Drill_3;4.82
B22_SA;SA_Assemble_2;2.23
B22_BP;BP_Paint_1;2.6
B22_SA;SA_Cut_1;2.3
B22_SA;SA_Routing_1;0.53
B22_FA;FA_Drill_1;6.32
B22_FA;FA_Assemble_1;1.97
;Assemble_1;4.53
B22_SA;SA_Drill_2;5
B23;Sand_2;-63511714.47
B24;Assemble_3;9.33
O23;Attach_BP_1;2.13
B22_BP;BP_Sand_1;3.17
B22_BP;BP_Paint_2;2.57
B22_FA;FA_Drill_3;6.23
B22;Paint_3;5.82
B22_BP;BP_Cut_1;1.95
B22_BP;BP_Drill_1;6.02
B22;Sand_4;-63511715.93
B22;;5.4
B22_FA;FA_Assemble_1;1.87
;SA_Cut_1;2.15
B22_SA;SA_Routing_1;0.52
B22_SA;SA_Assemble_1;2.08
B22_FA;FA_Cut_2;4.03
B22_SA;SA_Drill_3;6.12
B22_BP;BP_Sand_2;-63511716.95
B22_FA;FA_Cut_1;3.68
O23;Attach_BP_1;2.12
B22;Assemble_2;4.52
;FA_Drill_2;6.18
B22;;7.3
B22_BP;BP_Cut_1;2.1
B22_BP;BP_Drill_2;5.48
;FA_Assemble_1;1.8
B22_BP;BP_Paint_1;2.45
B22_SA;;2.32
B22_SA;SA_Routing_1;-63511718.32
B22_SA;SA_Assemble_1;63511720.85
B22_BP;BP_Sand_1;3.43
B23;Paint_1;8.32
B22;Assemble_1;4.18
B22_SA;;5.45
B22_SA;SA_Assemble_2;63511721.73
O23;Attach_BP_1;2.15
B22_BP;BP_Cut_1;-63511719.98
B22;Sand_1;7.27
B22_BP;BP_Drill_3;5.73
B22_FA;FA_Drill_1;6.2
B22_FA;FA_Assemble_1;1.85
B22_BP;BP_Paint_2;2.42
B23_FA;FA_Cut_2;4.47
B23_SA;;3.12
B22_SA;SA_Routing_1;0.6
B23_FA;FA_Cut_1;63511725.07
B22;Paint_3;5.28
B22_SA;SA_Drill_2;5.48
B22;Paint_2;4.97
B22_FA;FA_Drill_3;6.02
B22;Assemble_2;4.35
B22_BP;BP_Sand_2;3.08
B22_BP;BP_Cut_1;1.92
O23;Attach_BP_1;2.32
B22_BP;BP_Drill_1;5.13
B22_BP;BP_Paint_1;2.37
B22_FA;FA_Assemble_1;1.8
B22;Sand_4;6.92
B22;Assemble_1;4.22
B22_SA;SA_Assemble_1;0
B22_BP;BP_Sand_1;3.28
B22_FA;FA_Drill_2;6.18
B23_SA;SA_Cut_1;63511727.1
B23_SA;SA_Routing_1;0.75
B24;Assemble_3;8.87
B23_BP;BP_Cut_1;2.7
;BP_Drill_2;5.8
B22_FA;FA_Assemble_1;1.7
B22_SA;SA_Assemble_2;2.03
O23;Attach_BP_1;2.17
B23_SA;SA_Drill_1;-63511724.75
B22;Sand_2;7
B22;Sand_3;7.18
B23_FA;FA_Cut_1;4.02
B23_FA;FA_Cut_2;4.4
B22_BP;BP_Paint_1;2.68
B22_BP;BP_Sand_2;3.33
B23_FA;FA_Drill_1;-63511726.33
B22;Assemble_2;4.2
B22;Paint_2;5.68
B22_FA;FA_Assemble_1;1.8
B23;Paint_3;7.73
B23_BP;BP_Cut_1;2.57
B22_BP;BP_Paint_2;2.75
B23_BP;BP_Drill_3;8.1
B22_SA;SA_Assemble_1;2.4
O23;Attach_BP_1;2.03
B23_SA;SA_Cut_1;3.23
B23_SA;SA_Routing_1;0.73
B22;Paint_1;5.63
B22;Assemble_1;4.18
B22;Sand_1;7.32
B22_BP;BP_Sand_1;3.08
B23_FA;FA_Drill_3;7.73
B23_SA;SA_Drill_2;10.32
B22_FA;FA_Assemble_1;1.7
;FA_Cut_1;4.32
B22_BP;BP_Paint_1;2.4
B23_BP;BP_Cut_1;2.43
O23;;2.07
B22;Sand_4;6.48
B23_BP;BP_Drill_1;63511738.98
B23_FA;FA_Cut_2;4.08
B23_FA;FA_Drill_2;7.88
B22_BP;BP_Sand_2;2.87
;FA_Assemble_1;1.8
B23_SA;SA_Cut_1;3.08
B23_SA;SA_Routing_1;0.73
B22_BP;;2.4
B22;Assemble_2;4.4
B23_SA;SA_Drill_3;10.12
B22;Assemble_1;4.1
O23;Attach_BP_1;2.23
B24;Sand_2;-63511731.97
B23_BP;BP_Cut_1;2.85
B23_BP;BP_Drill_2;8.27
B22;Paint_2;5.23
B22;Sand_3;7.65
B22;Paint_1;5.37
B22;Assemble_3;4.77
B22_BP;BP_Paint_1;2.2
B23_FA;FA_Drill_1;7.87
B23_SA;SA_Cut_1;3.12
B23_FA;FA_Assemble_1;1.85
B23_SA;SA_Routing_1;0.73
B23_FA;FA_Cut_1;3.78
B23_FA;FA_Cut_2;4.77
O23;Attach_BP_1;2.2
B22;Paint_3;6.07
B23_SA;SA_Drill_1;9.1
B22;Sand_1;6.52
B23_SA;SA_Assemble_1;3.57
B23_BP;BP_Cut_1;2.83
B23_BP;BP_Drill_3;7.83
B23_BP;BP_Sand_1;4.4
B24;Assemble_2;7.92
B23_FA;FA_Drill_3;63511742.8
B23_FA;FA_Assemble_1;1.93
O22;Assemble_1;4.18
B22;Sand_4;6.8
B23_SA;SA_Cut_1;2.88
B23_SA;SA_Routing_1;0.77
;Attach_BP_1;1.98
B22;Paint_2;5.12
B23_FA;FA_Cut_1;63511741.8
B23_BP;;2.7
B23_FA;FA_Drill_2;7.42
O23;Assemble_3;6.45
B23_FA;FA_Assemble_1;1.98
B23_SA;SA_Drill_2;-63511738.35
B22;Paint_1;5.12
B23_SA;SA_Assemble_2;4.08
B23_FA;FA_Cut_2;4.87
B23_BP;BP_Drill_1;7.93
B23_BP;BP_Sand_2;4.52
O23;Attach_BP_1;2.1
B23_BP;BP_Paint_1;3.55
B23_SA;;3.33
B23_SA;SA_Routing_1;0.72
B22;Sand_3;8
B23;Assemble_1;6.32
B23_BP;BP_Sand_1;4.53
B23_BP;BP_Cut_1;2.7
B23_BP;BP_Drill_2;7.4
B22;Paint_3;4.68
B24;Sand_1;16.18
B23_FA;FA_Drill_1;63511748.82
B23_SA;SA_Drill_3;9.62
O23;Attach_BP_1;1.97
B23_FA;FA_Assemble_1;1.78
;SA_Assemble_1;4.1
B23_FA;;4.55
B22;Paint_2;5.37
B23_FA;FA_Drill_3;-63511742.87
B22;Sand_4;-63511742.93
B23;Assemble_2;5.62
B23_SA;SA_Cut_1;3.07
B23_SA;SA_Routing_1;0.72
B23_BP;BP_Cut_1;2.65
B23_BP;BP_Drill_3;8.55
B23_FA;FA_Assemble_1;1.73
B22;Paint_1;5.05
B23_BP;BP_Sand_2;4.5
B23_FA;FA_Cut_2;4.75
B23_BP;BP_Paint_1;3.7
;Attach_BP_1;-63511743.78
B23_SA;SA_Assemble_2;3.78
B23_SA;SA_Drill_1;10.13
O23;Assemble_3;6.12
B23_BP;BP_Paint_2;3.52
B23_FA;FA_Drill_2;6.25
;FA_Assemble_1;1.87
;Paint_3;5.82
B23_BP;BP_Cut_1;-63511746.07
;Attach_BP_1;2.22
B23_SA;SA_Cut_1;3.03
B23_SA;SA_Routing_1;0.8
B23;Assemble_1;63511752.37
B23_FA;FA_Cut_1;4.33
B23_BP;BP_Drill_1;9.47
B23_BP;BP_Sand_1;4.53
B22;Sand_2;8.33
B22;Sand_3;8.05
B24;Paint_2;-63511748.2
;BP_Sand_2;4.15
B23_BP;BP_Paint_1;3.7
B23_SA;SA_Drill_2;10.2
O23;Attach_BP_1;2.07
B23_FA;FA_Cut_2;3.87
B23_SA;SA_Assemble_1;4.07
B22;Paint_1;5.75
B23;Assemble_2;63511755.45
B23_BP;BP_Cut_1;2.83
B23_BP;BP_Drill_2;8.3
B23_FA;FA_Drill_1;6.55
B23_FA;FA_Assemble_1;1.85
B23_SA;SA_Cut_1;3
B23_SA;SA_Routing_1;0.7
O22;Sand_4;7.88
O24;Assemble_3;9
B23_FA;FA_Cut_1;4.05
B23_SA;SA_Drill_3;9.9
B23_FA;FA_Drill_3;7.58
B23_SA;SA_Assemble_2;4.25
;Paint_3;5.62
B23_FA;FA_Assemble_1;1.68
B23_FA;FA_Drill_2;8.12
B23_BP;BP_Cut_1;2.65
B23_BP;BP_Paint_2;3.28
;BP_Drill_3;8.15
B23_BP;BP_Sand_1;4.62
O24;Assemble_1;8.88
B23_BP;BP_Paint_1;3.67
B23_SA;SA_Cut_1;3.22
B23_SA;SA_Routing_1;0.72
B23_FA;FA_Cut_2;4.58
B23_FA;FA_Assemble_1;1.88
B23_SA;SA_Drill_1;11.2
B23_SA;;3.68
B23_BP;BP_Cut_1;2.57
B23_FA;FA_Cut_1;4.48
B23_FA;FA_Drill_1;7.93
B23;Assemble_2;6.17
B23_FA;FA_Assemble_1;0
B23_SA;SA_Cut_1;3.33
B23_SA;SA_Routing_1;0.75
B24;Sand_3;14.27
B22;Paint_1;4.98
B22;Attach_BP_1;1.6
O23;Sand_2;-63511756.27
B23_BP;BP_Drill_1;8.18
B23_BP;BP_Sand_2;4.83
B23_BP;BP_Paint_1;3.52
B23_BP;BP_Cut_1;2.53
B23_BP;BP_Drill_2;8.65
B22;Paint_3;5.6
B23_BP;BP_Sand_1;4.1
B23_FA;FA_Cut_2;4.07
B23;Sand_1;9.97
B22;Attach_BP_1;1.67
;Sand_4;10.52
B23_SA;SA_Drill_2;10.17
;FA_Drill_3;6.63
B23_SA;SA_Assemble_1;4
;FA_Assemble_1;1.63
B23_SA;SA_Cut_1;3.45
;SA_Routing_1;0.73
B24;Paint_2;10.2
B23_BP;BP_Cut_1;2.58
B23_FA;FA_Drill_2;7.18
;FA_Cut_1;63511764.55
B23;Assemble_3;6.03
B22;Attach_BP_1;1.67
B23_BP;BP_Drill_3;8.4
B23_FA;FA_Assemble_1;-63511761.02
B23_SA;SA_Drill_3;10.6
O22;Paint_1;4.83
B23_SA;SA_Assemble_2;4.43
B23_BP;BP_Sand_1;4.4
B23;Assemble_1;6.02
B23_FA;FA_Cut_2;3.92
B23_BP;BP_Paint_1;3.73
B23_BP;BP_Paint_2;3.35
O24;Assemble_2;9.15
B22;Attach_BP_1;1.7
B23_BP;BP_Cut_1;-63511762.33
B23_SA;SA_Cut_1;3.03
B23_SA;SA_Routing_1;0.67
B23_FA;FA_Drill_1;7.28
B23_FA;FA_Assemble_1;1.97
B22;Attach_BP_1;1.62
B23_FA;FA_Cut_1;4.58
B23_BP;BP_Drill_1;8.35
;BP_Sand_2;4.58
B23_BP;BP_Cut_1;2.72
B23_SA;SA_Drill_1;9.15
B24_FA;FA_Cut_2;4.52
B23_SA;SA_Assemble_1;63511770
B23_FA;FA_Drill_3;6.23
B23_FA;FA_Assemble_1;1.65
;BP_Drill_2;7.72
B23_SA;SA_Cut_1;3.08
B23_SA;SA_Routing_1;0.72
B23_BP;BP_Sand_1;4.28
B23_BP;BP_Paint_1;-63511765.95
B22;Attach_BP_1;1.62
B23;Assemble_3;6.65
;FA_Drill_2;7.6
O23;Sand_2;11.27
B23;Assemble_1;6.85
O23;;-63511767.58
B23;Sand_1;11.27
B23_BP;BP_Cut_1;2.5
B23;;7.87
B23_FA;FA_Assemble_1;1.87
B23;Attach_BP_1;2.38
B23_BP;BP_Drill_3;8.73
B23;Sand_4;11.17
B23_SA;SA_Drill_2;10.5
B23_SA;SA_Cut_1;63511772.27
B23_SA;SA_Routing_1;0.68
B23_SA;SA_Assemble_2;3.83
B24_FA;FA_Cut_1;4.42
B23_BP;BP_Sand_2;4.48
B23_BP;BP_Paint_1;3.27
B23;Paint_2;8.62
B24_FA;FA_Cut_2;4.58
B23_BP;BP_Cut_1;2.83
B23_BP;BP_Paint_2;3.72
O24;Sand_3;15.27
B23_FA;FA_Drill_1;-63511770.85
B23;Assemble_2;6.87
B23_FA;FA_Assemble_1;1.75
B23_SA;SA_Drill_3;10.17
B23_FA;FA_Drill_3;8.27
B23_SA;SA_Assemble_1;4.38
B23_SA;SA_Cut_1;3.07
B23_SA;SA_Routing_1;-63511772.35
B22;Attach_BP_1;1.68
O24;Assemble_3;-63511772.9
B23_FA;FA_Assemble_1;1.75
B23_BP;;63511775.67
B23_BP;BP_Drill_1;8.7
B23_BP;BP_Sand_1;4.2
B23_BP;BP_Drill_2;-63511773.63
B24_FA;FA_Cut_1;4.12
B23_BP;BP_Sand_2;5.28
B23_BP;BP_Paint_1;3.52
B23;Assemble_1;7.22
B23_FA;FA_Drill_2;8.27
B23_SA;SA_Drill_1;9.58
B23_SA;SA_Assemble_2;4.65
B24_FA;FA_Cut_2;4.08
;FA_Assemble_1;1.77
;Paint_1;9.08
;SA_Cut_1;3.43
B23_SA;SA_Routing_1;0.72
B23_BP;BP_Cut_1;2.6
B23_BP;BP_Drill_3;7.18
B23_BP;BP_Sand_1;4.62
B23_BP;BP_Paint_2;3.18
B23;Assemble_2;6.03
B22;Attach_BP_1;1.52
B24_FA;FA_Cut_1;4.53
B23_BP;BP_Cut_1;2.6
